tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,35,200069,,,Nadia Petrova,R,178,RUS,17.6,200070,,,Anne Gaelle Sidot,L,172,FRA,20.4,6-4 6-2,3,R128,,,,,,,,,,,,,,,,,,,,85,342,35,799
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,36,200072,,,Cara Black,R,167,ZIM,20.9,200071,,,Lenka Nemeckova,R,170,CZE,23.7,6-4 7-6(4),3,R128,,,,,,,,,,,,,,,,,,,,42,700,108,271
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,37,200073,,Q,Julie Pullin,L,173,GBR,24.1,200074,,,Jane Chi,R,165,USA,25.5,6-1 6-3,3,R128,,,,,,,,,,,,,,,,,,,,174,135,107,276
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,38,200075,,WC,Jing Qian Yi,R,168,CHN,25.8,200076,,,Laurence Courtois,R,172,BEL,23.9,7-6(5) 6-2,3,R128,,,,,,,,,,,,,,,,,,,,137,194,80,378
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,39,200077,,,Jennifer Capriati,R,170,USA,23.8,200078,,,Barbara Schwartz,L,181,AUT,20.9,6-1 7-6(1),3,R128,,,,,,,,,,,,,,,,,,,,21,1183,43,697
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,40,200080,14,,Dominique Monami,R,170,BEL,26.6,200079,,,Kim Clijsters,R,175,BEL,16.6,3-6 6-1 6-1,3,R128,,,,,,,,,,,,,,,,,,,,16,1509,34,812
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,41,200082,,,Kristie Boogert,R,178,NED,26.0,200081,15,,Anke Huber,R,173,GER,25.1,6-4 6-4,3,R128,,,,,,,,,,,,,,,,,,,,100,297,17,1485
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,42,200084,,,Asa Carlsson,R,178,SWE,24.5,200083,,,Alexandra Stevenson,R,185,USA,19.0,7-6(6) 6-3,3,R128,,,,,,,,,,,,,,,,,,,,59,524,36,766
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,43,200085,,,Ai Sugiyama,R,163,JPN,24.5,200086,,,Magdalena Maleeva,R,168,BUL,24.7,7-6(3) 7-6(4),3,R128,,,,,,,,,,,,,,,,,,,,24,1026,70,468
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,44,200088,,,Adriana Gersi,R,166,CZE,23.5,200087,,,Seda Noorlander,R,166,NED,25.6,3-6 6-3 6-3,3,R128,,,,,,,,,,,,,,,,,,,,78,390,83,366
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,45,200089,,,Miriam Oremans,R,169,NED,27.3,200090,,,Anca Barna,L,175,GER,22.6,6-2 6-2,3,R128,,,,,,,,,,,,,,,,,,,,99,303,120,236
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,46,200092,,,Sandra Nacuk,R,,SCG,19.4,200091,,,Janet Lee,R,175,TPE,23.2,6-4 6-7(6) 7-5,3,R128,,,,,,,,,,,,,,,,,,,,103,289,94,319
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,47,200093,,,Amelie Cocheteux,L,,FRA,21.8,200094,,,Barbara Rittner,R,173,GER,26.7,1-6 7-5 6-4,3,R128,,,,,,,,,,,,,,,,,,,,62,512,56,551
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,48,200096,4,,Mary Pierce,R,178,FRA,25.0,200095,,Q,Linda Wild,R,,USA,28.9,7-5 6-3,3,R128,,,,,,,,,,,,,,,,,,,,5,2599,190,117
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,49,200097,5,,Nathalie Tauziat,R,165,FRA,32.2,200098,,,Henrieta Nagyova,R,177,SVK,21.0,6-1 2-6 6-1,3,R128,,,,,,,,,,,,,,,,,,,,8,2213,32,826
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,50,200099,,Q,Sonya Jeyaseelan,R,157,CAN,23.7,200100,,,Amanda Hopmans,R,167,NED,23.9,6-2 3-6 6-1,3,R128,,,,,,,,,,,,,,,,,,,,145,182,77,391
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,51,200101,,Q,Jana Kandarr,R,181,GER,23.3,200102,,WC,Melissa Dowse,R,,AUS,17.7,6-4 6-7(5) 8-6,3,R128,,,,,,,,,,,,,,,,,,,,141,191,391,32
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,52,200104,,,Emilie Loit,L,167,FRA,20.6,200103,,WC,Evie Dominikovic,R,173,AUS,19.6,6-7(3) 6-4 6-2,3,R128,,,,,,,,,,,,,,,,,,,,97,306,154,161
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,53,200106,,,Angeles Montolio,R,157,ESP,24.4,200105,,WC,Rachel Mcquillan,U,170,AUS,28.1,6-4 6-3,3,R128,,,,,,,,,,,,,,,,,,,,61,515,153,162
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,54,200108,,,Elena Dementieva,R,180,RUS,18.2,200107,,,Paola Suarez,R,170,ARG,23.5,6-0 3-6 8-6,3,R128,,,,,,,,,,,,,,,,,,,,64,508,69,469
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,55,200110,,,Fabiola Zuluaga,R,172,COL,21.0,200109,,,Nathalie Dechy,R,177,FRA,20.9,6-1 3-6 6-1,3,R128,,,,,,,,,,,,,,,,,,,,51,619,25,1009
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,56,200112,9,,Julie Halard Decugis,R,173,FRA,29.3,200111,,Q,Lina Krasnoroutskaya,R,174,RUS,15.7,6-2 6-4,3,R128,,,,,,,,,,,,,,,,,,,,11,1792,165,149
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,57,200113,11,,Anna Kournikova,R,173,RUS,18.6,200114,,,Patricia Wartusch,R,175,AUT,21.4,6-0 6-0,3,R128,,,,,,,,,,,,,,,,,,,,12,1766,93,325
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,58,200116,,,Natalia Zvereva,R,174,BLR,28.7,200115,,,Brie Rippner,R,175,USA,19.9,6-7(4) 7-5 6-2,3,R128,,,,,,,,,,,,,,,,,,,,26,972,102,295
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,59,200117,,,Kveta Peschke,R,165,CZE,24.5,200118,,,Virginia Ruano Pascual,R,169,ESP,26.3,6-2 6-1,3,R128,,,,,,,,,,,,,,,,,,,,47,660,87,333
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,60,200119,,,Rita Kuti Kis,L,176,HUN,21.9,200120,,,Jelena Dokic,R,175,AUS,16.7,6-1 2-6 6-3,3,R128,,,,,,,,,,,,,,,,,,,,86,337,39,726
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,61,200121,,Q,Alina Jidkova,R,168,RUS,22.9,200122,,,Tina Pisnik,R,172,SLO,18.9,2-6 7-6(5) 6-1,3,R128,,,,,,,,,,,,,,,,,,,,122,231,81,377
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,62,200123,,,Marlene Weingartner,R,174,GER,19.9,200124,,,Anne Kremer,R,165,LUX,24.2,6-2 2-6 6-4,3,R128,,,,,,,,,,,,,,,,,,,,90,331,27,934
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,63,200126,,Q,Marissa Irvin,R,170,USA,19.5,200125,,,Corina Morariu,R,174,USA,21.9,2-6 7-5 6-3,3,R128,,,,,,,,,,,,,,,,,,,,130,206,37,761
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,64,200128,2,,Lindsay Davenport,R,189,USA,23.6,200127,,,Sarah Pitkowski Malcor,R,,FRA,24.1,6-3 6-1,3,R128,,,,,,,,,,,,,,,,,,,,2,4709,38,761
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,65,200001,1,,Martina Hingis,R,170,SUI,19.2,200003,,,Justine Henin,R,167,BEL,17.6,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,,1,6003,63,510
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,66,200008,,,Alicia Molik,R,182,AUS,18.9,200006,,,Karina Habsudova,R,170,SVK,26.4,6-2 6-3,3,R64,,,,,,,,,,,,,,,,,,,,116,245,53,574
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,67,200009,,,Tamarine Tanasugarn,R,165,THA,22.6,200012,,,Jana Nejedly,R,175,CAN,25.6,7-5 6-4,3,R64,,,,,,,,,,,,,,,,,,,,72,439,84,347
